id,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,total_points,in_dreamteam,first_name,second_name,web_name
57,90,0,0,1,0,0,0,0,0,0,0,0,11,15.0,11.3,0.0,2.6,3,FALSE,Dale,Stephens,Stephens
75,90,0,0,0,1,0,0,0,1,0,0,0,0,1.6,24.7,5.0,3.1,1,FALSE,Ryan,Fraser,Fraser
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,David,Brooks,Brooks
77,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Junior,Stanislas,Stanislas
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Jordon,Ibe,Ibe
79,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Lewis,Cook,Lewis Cook
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Andrew,Surman,Surman
81,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Dan,Gosling,Gosling
82,90,0,0,0,1,0,0,0,0,0,0,0,13,12.0,3.3,9.0,2.4,2,FALSE,Jefferson,Lerma,Lerma
96,90,1,0,1,0,0,0,0,0,0,0,1,28,44.2,33.1,22.0,9.9,9,FALSE,Johann Berg,Gudmundsson,Gudmundsson
97,83,0,0,1,0,0,0,0,0,0,0,0,15,15.8,5.3,0.0,2.1,3,FALSE,Dwight,McNeil,McNeil
98,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Robbie,Brady,Brady
99,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Steven,Defour,Defour
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Jeff,Hendrick,Hendrick
101,90,0,0,1,0,0,0,0,0,0,0,0,7,6.4,11.5,0.0,1.8,3,FALSE,Ashley,Westwood,Westwood
102,90,0,0,1,0,0,0,0,0,0,0,0,10,8.2,2.1,0.0,1.0,3,FALSE,Jack,Cork,Cork
113,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Willian,Borges Da Silva,Willian
114,90,0,0,0,4,0,0,0,0,0,0,0,18,20.0,55.1,23.0,9.8,2,FALSE,Pedro,Rodríguez Ledesma,Pedro
115,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Ruben,Loftus-Cheek,Loftus-Cheek
116,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Callum,Hudson-Odoi,Hudson-Odoi
117,57,0,0,0,1,0,0,0,0,0,0,0,1,8.0,14.4,18.0,4.0,1,FALSE,Ross,Barkley,Barkley
118,72,0,0,0,3,0,0,0,1,0,0,0,10,6.2,4.4,8.0,1.9,1,FALSE,Jorge Luiz,Frello Filho,Jorginho
119,17,0,0,0,1,0,0,0,1,0,0,0,-1,7.2,0.9,0.0,0.8,0,FALSE,N'Golo,Kanté,Kanté
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Daniel,Drinkwater,Drinkwater
121,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Ethan,Ampadu,Ampadu
133,25,0,0,0,0,0,0,0,0,0,0,0,1,4.4,0.8,32.0,3.7,1,FALSE,Wilfried,Zaha,Zaha
134,90,0,0,1,0,0,0,0,1,0,0,0,-2,0.6,14.8,0.0,1.5,2,FALSE,Luka,Milivojevic,Milivojevic
135,90,0,0,1,0,0,0,0,0,0,0,0,14,10.0,11.7,0.0,2.2,3,FALSE,Andros,Townsend,Townsend
136,90,0,0,1,0,0,0,0,1,0,0,0,5,12.8,1.0,55.0,6.9,2,FALSE,Max,Meyer,Meyer
137,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Jeffrey,Schlupp,Schlupp
138,90,0,0,1,0,0,0,0,0,0,0,0,15,21.2,11.6,0.0,3.3,3,FALSE,James,McArthur,McArthur
139,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Cheikhou,Kouyaté,Kouyaté
140,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Luke,Dreher,Dreher
150,90,0,0,1,0,0,0,0,0,0,0,0,7,12.2,19.3,32.0,6.4,3,FALSE,Richarlison,de Andrade,Richarlison
151,78,0,0,1,0,0,0,0,0,0,0,0,3,4.8,13.1,37.0,5.5,3,FALSE,Gylfi,Sigurdsson,Sigurdsson
152,90,0,0,1,0,0,0,0,1,0,0,0,4,6.8,19.5,10.0,3.6,2,FALSE,Bernard,Anício Caldeira Duarte,Bernard
153,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Theo,Walcott,Walcott
154,11,0,0,0,0,0,0,0,0,0,0,0,2,1.4,0.1,0.0,0.2,1,FALSE,Tom,Davies,Davies
155,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Ademola,Lookman,Lookman
156,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Idrissa,Gueye,Gueye
